Replicate Speciation_rate Extinction_rate Ingroup-divergence/divergence-to-the-ingroup-ratio Number_of_leaves Generations Number_of_Genes Haploid_efective_population_size Global_substitution_rate Lineage_species_specific_rate_heterogeneity_gamma_shape Gene_family_locus_tree_specific_rate_heterogeneity_gamma_shape Individuals_per_species
001 0.00000022126670 0.00000016087900 0.2500 2000 7867149.000 100 414467.0 0.00000005252273 2.63355899999999998 5.9870380000 1
002 0.00000015360630 0.00000014811960 0.2500 2000 23385220.000 100 774911.0 0.00000001492237 2.40561800000000003 7.8753560000 1
003 0.00000012462170 0.00000011728600 0.2500 2000 5994044.000 100 191430.0 0.00000001204688 1.49532599999999993 5.4673430000 1
004 0.00000011492690 0.00000010224590 0.2500 2000 36052870.000 100 753354.0 0.00000011499260 25.53684000000000154 3.6821950000 1
005 0.00000099374270 0.00000045776330 0.2500 2000 2968720.000 100 185193.0 0.00000002666679 1.14206699999999994 5.0583140000 1
006 0.00000012453290 0.00000011913060 0.2500 2000 2334166.000 100 149434.0 0.00000008513461 10.12397999999999954 9.1899710000 1
007 0.00000093893860 0.00000019159540 0.2500 2000 20478110.000 100 685792.0 0.00000003219754 11.72241000000000000 5.6436260000 1
008 0.00000065927450 0.00000016995760 0.2500 2000 5912800.000 100 519592.0 0.00000002475976 3.66719900000000010 3.2832860000 1
009 0.00000018413640 0.00000014966980 0.2500 2000 974149.400 100 985935.0 0.00000003267049 1.06649700000000003 5.9221140000 1
010 0.00000059016120 0.00000012218830 0.2500 2000 8667502.000 100 327047.0 0.00000004048296 3.06057800000000002 12.6366100000 1
011 0.00000013100850 0.00000010409460 0.2500 2000 4095020.000 100 685612.0 0.00000005951198 17.16628000000000043 12.3504900000 1
012 0.00000029624020 0.00000014802380 0.2500 2000 3431047.000 100 436994.0 0.00000003590318 2.74986199999999981 1.4463950000 1
013 0.00000029239880 0.00000027072190 0.2500 2000 2822753.000 100 932405.0 0.00000001050950 1.90324399999999994 4.7524030000 1
014 0.00000052616750 0.00000042472920 0.2500 2000 32452370.000 100 322558.0 0.00000007422094 0.44708470000000000 1.9591490000 1
015 0.00000012201240 0.00000010955380 0.2500 2000 30143320.000 100 996640.0 0.00000003736758 8.33048100000000069 8.0951420000 1
016 0.00000058846280 0.00000015510560 0.2500 2000 6021064.000 100 176764.0 0.00000002081559 1.60822200000000004 7.7152110000 1
017 0.00000075974980 0.00000039927640 0.2500 2000 34301150.000 100 607113.0 0.00000002100926 1.67844499999999996 2.3126770000 1
018 0.00000060243400 0.00000021780930 0.2500 2000 5714121.000 100 599827.0 0.00000006481819 10.66469999999999985 2.1585420000 1
019 0.00000051629970 0.00000012533950 0.2500 2000 2967898.000 100 176899.0 0.00000001448563 1.74019900000000005 8.4843980000 1
020 0.00000040679820 0.00000028380710 0.2500 2000 4743167.000 100 993673.0 0.00000002798611 6.38601599999999969 4.7464220000 1
001 0.00000022126670 0.00000016087900 0.5000 2000 7867149.000 100 414467.0 0.00000005252273 2.63355899999999998 5.9870380000 1
002 0.00000087441580 0.00000025837630 0.5000 2000 2473865.000 100 450576.0 0.00000001177212 5.49650100000000030 9.4280430000 1
003 0.00000043538540 0.00000036754160 0.5000 2000 4375744.000 100 32997.0 0.00000003226912 1.31488000000000005 5.2773450000 1
004 0.00000027643250 0.00000024013930 0.5000 2000 28590340.000 100 408662.0 0.00000000688130 9.45477999999999952 9.4994870000 1
005 0.00000028671090 0.00000015424560 0.5000 2000 19199000.000 100 906849.0 0.00000006371343 19.81587999999999994 5.2524040000 1
